name,display_name,latitude,longitude
สโมสรนักศึกษา (SMO INTER),SMO INTER,13.730229,100.775677
อาคารเฉลิมพระเกียรติ 55 พรรษา สมเด็จพระเทพรัตนราชสุดาฯสยามบรมราชกุมารี วิทยาลัยนวัตกรรมการจัดการข้อมูลและวิทยาลัยนานาชาติ,อาคารเฉลิมพระเกียรติ 55 พรรษา,13.729848,100.775319
ลานจอดรถหน้าเฉลิมพระเกียรติ 55 พรรษา,ลานจอดรถ,13.729671,100.775331
หอพักนักศึกษา(ปรับอากาศ),หอแอร์,13.729668,100.775
อาคารปฏิบัติการรวมวิศวกรรมศาสตร์ 2 (ตึก ECC),ECC,13.729189,100.775899
Cafe de latte,coffee shop,13.7294383,100.775955
อันนา กาแฟ สาขา ECC,coffee shop,13.7295216,100.7761833
แลปภาควิศวกรรมอัตโนมัติ (Lab Auto),Lab Auto,13.729376,100.776533
ไปรษณีย์ไทยสาขาพระจอมฯ,ไปรษณีย์,13.7294816,100.7768266
อาคารเรียนรวม สมเด็จพระเทพฯ,ตึกพระเทพฯ,13.729645,100.7768466
งานสุขภาพอนามัย,ห้องพยาบาล,13.729555,100.777435
ลานจอดรถข้างอาคารเรียนรวมสมเด็จพระเทพฯ,ลานจอดรถ,13.729885,100.7775083
อาคารกรมหลวงนราธิวาสราชนครินทร์ (สำนักงานอธิการบดี),ตึกอธิการบดี,13.730282,100.777751
klao-kan coffee,coffee shop,13.7304466,100.7776816
ลานพระจอมเกล้าฯ,ลานพระจอมฯ,13.7304516,100.7784483
Annie shake,coffee shop,13.72956,100.7769816
โรงอาหารตึกพระเทพฯ,ร้านอาหาร,13.729864,100.775922
ห้องปฏิบัติการวิศวกรรมไฟฟ้าแรงสูง (Lab High Volt),Lab High Volt,13.729287,100.775119
โรงอาหาร L,ร้านอาหาร,13.72874,100.775125
7-ELEVEN สาขาหอพักลาดกระบัง,7-ELEVEN,13.728561,100.774389
อาคารปฏิบัติกลางไฟฟ้า (ส่วนกลาง:ตึก L),ตึก L,13.728666,100.775572
Bamboo coffee,coffee shop,13.728636,100.775737
กนก ฟาร์มา เชน,ร้านขายยา,13.728654,100.77597
ภาควิศวกรรมไฟฟ้า (แลปภาคไฟ),แลปภาคไฟ,13.728809,100.776248
ATM SCB (ECC),ATM,13.72889,100.775962
อาคารระบบไฟฟ้าอัจฉริยะ (Smartgrid Building),REAL,13.728979,100.776557
ธนาคารกรุงศรีอยุธยา,Krungsri Bank,13.72866,100.776743
ธนาคารกรุงไทย,KTB,13.728726,100.77686
ธนาคารกสิกร,K-Bank,13.728732,100.776841
THE BOON CAF?,coffee shop,13.72866,100.777086
อาคารวิจัยนาโนเทคโนโลยีสิรินธร,ตึกนาโนสิรินธร,13.7287483,100.7776333
วิทยาลัยนาโนเทคโนโลยีพระจอมเกล้าลาดกระบัง,วิทยาลัยนาโน,13.728939,100.777326
ATM บัวหลวงเอ็กซ์เพรส,ATM,13.7285999,100.7778683
ลานจอดรถหน้าอาคารกิจกรรม (วิทยา),ลานจอดรถ,13.7287533,100.7782566
อาคารกิจกรรมนักศึกษา,อาคารกิจกรรม,13.728721,100.778544
โรงอาหารวิทยาเก่า,ร้านอาหาร,13.728727,100.778634
สนามบาส (วิทยา),สนามบาส,13.728785,100.7789833
สโมสรนักศึกษา Science,สโมสรวิทยา,13.728834,100.779109
Daily Drinks,coffee shop,13.7288366,100.7788266
Rabbits Bread,coffee shop,13.728953,100.778813
Pam&Sushi,coffee shop,13.729062,100.778864
ศูนย์ถ่ายเอกสารวิทยา,ร้านถ่ายเอกสาร,13.729126,100.778781
ศูนย์รวมอาหารวิทยาศาสตร์,ร้านอาหาร,13.729081,100.779537
ฟิตเนสอาจารย์ (วิทยา),ฟิตเนสวิทยา,13.72914,100.779533
อาคารปฏิบัติการหลังใหม่,อาคารปฏิบัติการหลังใหม่,13.729228,100.779809
ลานจอดรถหน้าอาคารจุฬาภรณวลัยลักษณ์ 1,ลานจอดรถ,13.7293716,100.7797683
อาคารจุฬาภรณวลัยลักษณ์ 1 (จุ๊ 1),จุ๊ 1,13.729558,100.779896
หอประชุมจุฬาภรณวลัยลักษณ์ (หอจุ๊),หอจุ๊,13.729675,100.779392
อาคารฝึกงานอุตสาหกรรมเคมีและโพลิเมอร์,Shop Polimer,13.730086,100.779727
ศูนย์เครื่องมือวิทยาศาสตร์,ศูนย์เครื่องมือวิทย์,13.7301033,100.7793349
อาคารจุฬาภรณวลัยลักษณ์ 2 (จุ๊ 2),จุ๊ 2,13.730088,100.779459
ลานจอดรถหน้าอาคารจุฬาภรณวลัยลักษณ์ 2,ลานจอดรถ,13.7299066,100.7788233
สำนักงานคณบดีคณะวิทยาศาสตร์,ตึกวิทย์เก่า 5 ชั้น,13.729374,100.779215
ธนาคารไทยพาณิชย์,SCB Bank,13.729061,100.778323
ATM กรุงศรีฯ / บัวหลวงเอ็กซ์เพรส / กสิกร,ATM,13.729002,100.778346
ป้ายรถเมล์หน้าวิทยา,bus stop,13.72897,100.778082
คิวรถตู้หน้าวิทยา,bus stop,13.72857,100.778068
อาคารฝึกงานซ่อมสร้างเครื่องมือวิทยาศาสตร์ภาควิชาฟิสิกส์ประยุกต์,อาคารซ่อมสร้าง,13.729405,100.7787
ร้านกาแฟข้างหอใน,coffee shop,13.730085,100.774945
สระว่ายน้ำ สมเด็จพระเทพฯ,สระว่ายน้ำ,13.730416,100.775073
ศูนย์ทดสอบผลิตภัณฑ์ไฟฟ้าและอิเล็กทรอนิกส์ (PTEC),PTEC,13.731068,100.775682
Top Kitchen STEAK,ร้านอาหาร,13.731182,100.774778
สมาคมศิษย์เก่าสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,สมาคมศิษย์เก่า,13.731244,100.774674
ลานจอดรถหน้า PTEC,ลานจอดรถ,13.731339,100.775715
สวนรวมใจเทิดไท้องค์ราชา,สวนรวมใจ,13.731422,100.776275
ลานจอดรถหลังอาคารอำนวยการ,ลานจอดรถ,13.731297,100.777488
อาคารอำนวยการ,ตึกอธิการบดี ด้านหลัง,13.731093,100.777437
ลานจอดรถข้างสำนักบริการคอมพิวเตอร์,ลานจอดรถ,13.731301,100.779928
ลานจอดรถหน้าสำนักบริการคอมพิวเตอร์,ลานจอดรถ,13.730786,100.780146
สำนักบริการคอมพิวเตอร์และวิทยาลัยการบริหารและจัดการ Computer Service Center / Administration and Management College (AMC),สำนักคอม / AMC,13.731017,100.780171
อาคารเฉลิมพระเกียรติ สำนักหอสมุดกลาง Central Library,หอสมุดกลาง,13.727619,100.778143
หอประชุุมใหม่ 5000 ที่นั่ง สจล ฝั่งหอสมุด,หอประชุมใหม่,13.7271116,100.7789016
ลานจอดรถข้างหอสมุดกลาง,ลานจอดรถ,13.7272283,100.779115
โรงอาหารหลังหอสมุดกลาง,ร้านอาหาร,13.727999,100.779114
Ph. D. Research Lab Biotechnology in Plant Pathology,BIOTEC,13.727805,100.780132
ตึก Processing Plant 1,ตึก Processing Plant 1,13.727958,100.78011
ลานจอดรถหลังหอประชุมใหม่,ลานจอดรถ,13.726751,100.780003
อาคารเจ้าคุณทหาร เทคโนโลยีการเกษตร อุตสาหกรรมเกษตร,ตึกเจ้าคุณ,13.726556,100.780212
หอประชุมใหม่ 5000 ที่นั่ง สจล ด้านหน้า,หอประชุุมใหม่,13.72613,100.779297
ลานจอดรถหน้าหอประชุมใหม่,ลานจอดรถ,13.725807,100.779399
อาคารเจ้าคุณทหาร สำนักงานคณบดีคณะอุตสาหกรรมการเกษตรและเทคโนโลยีการเกษตร,ตึกเจ้าคุณฯ ฝั่ง C,13.726025,100.780359
ลานจอดรถหน้าตึกเจ้าคุณฯ,ลานจอดรถ,13.725777,100.780412
ร้านขายลูกชิ้นหน้าตึกเจ้าคุณฯ,coffee shop,13.725538,100.780483
โรงอาหารหน้าตึกเจ้าคุณฯ,โรงอาหารกลางน้ำ,13.725389,100.780586
อันนากาแฟ หน้าตึกเจ้าคุณทหาร,coffee shop,13.725543,100.780652
ร้านถ่ายเอกสารอารีรัตน์ อุตสาหกรรมการเกษตร,ร้านถ่ายเอกสาร,13.725558,100.780816
สาขาวิชาเทคโนโลยีเครื่องจักรกลเกษตร,ภาคจักรกลเกษตร,13.72539,100.781335
ภาควิชาวิทยาศาสตร์การประมง Shrimp Co-culture Research Laboratory,SCORL,13.725451,100.781537
สโมสรนักศึกษาเทคโนโลยีการเกษตร(เกษตรเจ้าคุณ),ลานเชียร์,13.726103,100.781941
ภาควิชาเทคโนโลยีการผลิตพืช,ภาคผลิตพืช,13.7254416,100.7820966
สนามบาสเจ้าคุณทหาร,สนามบาส,13.725604,100.782515
อาคารปฏิบัติการด้านพลังงาน สนพ.,สนพ.,13.725878,100.777042
ลานจอดรถหน้าอาคารปฏิบัติการด้านหลังงาน,ลานจอดรถ,13.725784,100.776958
โรงปฏิบัติงานสิ่งทอ ภาควิชาศิลปอุตสาหกรรม Textile Design Workshop,โรงสิ่งทอ,13.7258016,100.77746
โรงปฏิบัติงานเครื่องปั้นดินเผา (โรง 5),โรงเครื่องปั้นดินเผา,13.725208,100.777424
โรงปฏิบัติงานศิลป์ (โรง 2),โรงศิลป์,13.725213,100.777315
โรงปฏิบัติการงานไม้ (โรง 6),โรงไม้,13.724842,100.777439
โรงปฏิบัติการงานโลหะ (โรง 1),โรงโลหะ,13.724853,100.777299
พัสดุกลาง อาคารสถานที่ สถาปัต,ฝ่ายอาคารสถานที่,13.724659,100.777048
ท้าวมหาพรหมธาดา,ศาลพระพรหม,13.724669,100.776829
อาคารคุณหญิงหรั่งและคุณชวลิสร์ กันตารัติ,อาคารเรือนไทย,13.724853,100.776447
วาสนา กาแฟสด,coffee shop,13.724595,100.7762333
โรงอาหาร คณะสถาปัตยกรรมศาสตร์,ร้านอาหาร,13.724614,100.776037
ร้านป้าแอ๊ะ ขายเครื่องเขียน,ร้านป้าแอ๊ะ,13.724652,100.775909
ร้านพี่แอน ขายเครื่องเขียน,ร้านพี่แอน,13.724621,100.775575
ATM SCB คณะสถาปัตย์,ATM,13.7246066,100.7755283
ลานจอดรถข้างอาคารเรียนรวมคณะสถาปัตยกรรมศาสตร์,ลานจอดรถ,13.724804,100.775242
สนามบาส คณะสถาปัตยกรรมศาสตร์,สนามบาส,13.724589,100.775153
ARCH BICYCLE CLUB,ARCH BICYCLE CLUB,13.7246016,100.7753
อาคารปฏิบัติงานภาพยนตร์และถ่ายภาพ ภาควิชานิเทศศิลป์ ฝั่งคลอง (อาคารโรงถ่าย),อาคารโรงถ่าย,13.724752,100.77409
อาคารภาควิชาวิจิตรศิลป์ Department of fine art,อาคารวิจิตรศิลป์,13.724824,100.773333
อาคารเก่า สถาปัตยกรรมหลัก,อาคารเก่า สถ,13.725931,100.775544
อาคารเก่า สถาปัตยกรรมภายใน,อาคารเก่า สน,13.72549,100.775584
อาคาร 4 ชั้น,อาคาร 4 ชั้น,13.725686,100.775925
หอประชุมศาสตราจารย์ประสม รังสิโรจน (หอประชุมสถาปัต),ลานจานบิน,13.725713,100.775134
อาคารเรียนรวมคณะสถาปัตยกรรมศาสตร์,อาคารเรียนรวมสถาปัต,13.725247,100.775378
อาคารบูรณาการ,ตึกบู,13.725887,100.773828
ลานจอดรถหน้าตึกบูรณาการ,ลานจอดรถ,13.726075,100.774046
อาคารปฏิบัติการวิศวกรรมศาสตร์ ภาควิชาวิศวกรรมเกษตร,Shop ภาคเกษตร,13.725949,100.773184
นาง คาเฟ่,coffee shop,13.7251733,100.7737199
บ้านกลางน้ำ,บ้านกลางน้ำ,13.724902,100.775779
สโมสรนักศึกษาคณะสถาปัตยกรรมศาสตร์,สโมสรสถาปัต,13.72461,100.775765
สำนักงานคณบดีและส่วนสนับสนุนวิชาการ คณะสถาปัตยกรรมศาสตร์,ส่วนสนับสนุนวิชาการ,13.7253116,100.77656
ห้องสมุดกลางน้ำ (ห้องไม้ไผ่),ห้องไม้ไผ่,13.725673,100.776569
U-Store,U-Store,13.7263,100.775994
หอศิลป์พระจอมเกล้า,หอศิลป์พระจอมเกล้า,13.726333,100.776717
สำนักงานคณบดีคณะวิศวกรรมศาสตร์ (ตึก A ม่วงเหลือง),ตึก A ฝั่งตรงข้ามหอประชุมใหญ่,13.726982,100.776621
หอประชุมใหญ่ สจล.,หอประชุมใหญ่,13.727205,100.777182
ลานจอดรถข้างหอประชุมใหญ่ สจล.,ลานจอดรถ,13.726892,100.77699
ศาสตราจารย์ ดร.พงศ์ศักดิ์ วรสุนทโรสถ,ศาสตราจารย์พงศ์ศักดิ์,13.727463,100.776864
ห้องสมุุด คณะวิศวกรรมศาสตร์,ห้องสมุดวิศวะ,13.727538,100.776927
สำนักงานคณบดีคณะวิศวกรรมศาสตร์ (ตึก A ม่วงเหลือง),ตึก A,13.727055,100.776357
อาคารภาควิศวกรรมโทรคมนาคม,ตึกภาคโทร,13.727472,100.776307
coffee @29,coffee shop,13.727909,100.776407
โรงอาหาร B,ร้านอาหาร,13.727465,100.775592
milk&more,coffee shop,13.7273083,100.7755616
สโมสนักศึกษาคณะวิศวกรรมศาสตร์,สโมสรวิศวะ,13.726989,100.775263
โรงอาหาร A,ร้านอาหาร,13.72705,100.775475
ตึก B,ตึก B,13.727301,100.775271
ATM SCB / กรุงเทพ โรง A,ATM,13.7270133,100.775445
ลานจอดรถหน้าตึก B,ลานจอดรถ,13.727243,100.775007
Football Club,ชมรมฟุตบอล,13.72705,100.7751
ตึกกิจกรรมนักศึกษา คณะวิศวกรรมศาสตร์,ตึกกิจฯ,13.726791,100.775131
สนามโภไคยอุดม,สนามโภไคย,13.727027,100.77485
ร้านอาหารเจ้าคุณ,coffee shop,13.7267266,100.77474
อาคารเฉลิมพระเกียรติ 84 พรรษาภูมิพลมหาราชา ฝั่งโยธา,ตึก HM ฝั่งโยธา,13.72654,100.774751
อาคารเฉลิมพระเกียรติ 84 พรรษาภูมิพลมหาราชา ฝั่งสถาปัต,ตึก HM ฝั่งสถาปัต,13.726493,100.775388
7-ELEVEN โรง A,7-ELEVEN,13.726779,100.775409
อาคารภาควิชาวิศวกรรมการวัดคุม,ตึกวัดคุม,13.727299,100.774434
อาคารภาควิชาวิศวกรรมโยธา,ตึกภาคโย,13.726987,100.774481
Salute Koff,coffee shop,13.727178,100.774334
ร้านถ่ายเอกสาร คลาสสิโคเวิล์ด ภาคโย,ร้านถ่ายเอกสาร,13.727074,100.774148
โรงปฏิบัติการโลหะแผ่นและเชื่อมประสาน,Shop ภาคเครื่อง,13.727265,100.773976
อาคารปฏิบัติการวิศวกรรมโยธา,Shop ภาคโย,13.72688,100.773949
โรงปฏิบัติการชมรม Automotive,Shop Automotive,13.727256,100.773387
อาคารยิมเนเซียม 1,โรงยิม ฝั่งวิศวะ,13.726982,100.773759
ร้านหมูปิ้ง ภาคเครื่อง,coffee shop,13.727392,100.773621
อาคารภาควิชาวิศวกรรมเครื่องกล,ตึกภาคเครื่อง,13.727613,100.773843
อาคารภาควิชาวิศวกรรมอุตสาหการ,ตึกภาคอุตฯ,13.727667,100.773295
iGear books&coffee,coffee shop,13.727216,100.773197
ลานจอดรถ CCA,ลานจอดรถ,13.7268183,100.772905
อาคารปฏิบัติการรวมวิศวกรรมศาสตร์1 CCA,ตึก CCA,13.72663,100.772889
ลาน CCA,ลาน CCA,13.7268066,100.77305
อาคารเรียนรวมวิศวกรรมศาสตร์ 12 ชั้น (ตึกโหล),ตึกโหล,13.727157,100.772407
ATM กรุงศรีฯ ตรงข้ามอาคาร 12 ชั้น (ตึกโหล),ATM,13.7270583,100.7725433
โรงอาหาร C,ร้านอาหาร,13.726983,100.772095
7-ELEVEN อาคาร 12 ชั้น (ตึกโหล),7-ELEVEN,13.726985,100.772242
ร้านอารีรัตน์ อาคาร 12 ชั้น (ตึกโหล),ร้านถ่ายเอกสาร,13.726987,100.772305
ฟอร์เซอร์กิต,ร้านขายอุปกรณ์อิเล็กทรอนิกส์,13.726981,100.77218
Coffee Tree,coffee shop,13.726982,100.771931
ATM SCB / กรุงไทย / กสิกร ใต้อาคาร 12 ชั้น (ตึกโหล),ATM,13.727158,100.772398
หอพักนักศึกษา(พัดลม),หอพัดลม,13.728604,100.773932
สำนักงานหอพักนักศึกษา,สำนักงานหอพัก,13.728652,100.773781
อาคารยิมเนเซียม 2,โรงยิม ฝั่งสนามกีฬา,13.728596,100.772773
สนามเปตอง,สนามเปตอง,13.728702,100.772486
สนามกีฬากลาง,สนามกีฬา,13.729354,100.77221
ที่จอดรถ สนามกีฬา,ลานจอดรถ,13.7290583,100.7715566
สนามบาส ที่ สนามกีฬา,สนามบาส,13.728905,100.7713883
ที่จอดรถหลังสนามกีฬา,ลานจอดรถ,13.730182,100.770983
สนามตะกร้อ,สนามตะกร้อ,13.731325,100.772941
สนามรักบี้/ฟุตบอล,สนามฟุตบอล,13.731341,100.773652
สนามเทนนิส,สนามเทนนิส,13.730769,100.774341
หอพระราชประวัติร.4,หอพระราชประวัติร.4,13.730988,100.77859
ร้านกาแฟข้างสำนักคอม,coffee shop,13.73102,100.780521
ATM SCB หน้าสำนักบริการคอมพิวเตอร์,ATM,13.730655,100.780577
ที่จอดรถข้างอาคารเรียนรวมคณะเทคโนโลยีสารสนเทศ,ลานจอดรถ,13.730888,100.780699
อาคารเรียนรวมคณะเทคโนโลยีสารสนเทศ,ตึก IT ฝั่งสำนักคอม,13.73079,100.780788
อาคารเรียนรวมคณะเทคโนโลยีสารสนเทศ,ตึก IT ฝั่งโรงอาหาร IT,13.730914,100.781541
ที่จอดรถหน้าโรงอาหาร IT,ลานจอดรถ,13.730894,100.782079
โรงอาหารคณะ IT,ร้านอาหาร,13.731017,100.782071
ป้ายรถเมล์หน้าคณะ IT,bus stop,13.730607,100.780926
สนามบาส คณะครุศาสตร์อุตสาหกรรม,สนามบาส,13.730202,100.781142
อาคารบุนนาค คณะเทคโนโลยีการเกษตร,ตึก L บุนนาค,13.729856,100.782092
ที่จอดรถหน้าอาคารบุนนาค,ลานจอดรถ,13.729992,100.78213
แปลงปฏิบัติการเทคโนโลยีการเกษตร,แปลงปฏิบัติการเทคโนฯเกษตร,13.7297866,100.782625
ที่จอดรถหลังอาคารบุนนาค,ลานจอดรถ,13.72892,100.7820233
ร้านถ่ายเอกสารอารีรัตน์ เทคโนโลยีการเกษตร,ร้านถ่ายเอกสาร,13.729243,100.782032
โรงอาหาร คณะเทคโนโลยีการเกษตร,ร้านอาหาร,13.728975,100.781313
ที่จอดรถหน้าอาคารครุศาสตร์อุตสาหกรรม,ลานจอดรถ,13.730233,100.780497
อาคารครุศาสตร์อุตสาหกรรม และสำนักคณบดีคณะครุศาสตร์อุตสาหกรรม,ตึกครุฯ,13.730172,100.780737
อาคารปฏิบัติการพิเศษจอมไตร,ตึกจอมไตร,13.72937,100.780566
โรงอาหาร คณะครุศาสตร์อุตสาหกรรม,ร้านอาหาร,13.7293119,100.7805696
ศูนย์เรียนรู้การจัดการขยะและน้ำเสียชุมชน Municipal waste and wastewater management learning center,ศูนย์เรียนรู้การจัดการน้ำเสีย,13.730092,100.780056
ห้องประชุมคุณหญิงวนิดา ธูปะเตมีย์,ห้องประชุมวนิดา,13.730175,100.780829
ที่จอดรถหน้าตึก ECC,ลานจอดรถ,13.729241,100.776012
